Date,Footfall
9/8/2009,31849
9/8/2009,21528
10/8/2009,34653
10/8/2009,19829
11/8/2009,37351
11/8/2009,28203
12/8/2009,35256
12/8/2009,33164
13/08/2009,36250
13/08/2009,29184
14/08/2009,40649
14/08/2009,26317
15/08/2009,48873
15/08/2009,34742
16/08/2009,30591
16/08/2009,15647
17/08/2009,36469
17/08/2009,34763
18/08/2009,35911
18/08/2009,26377
19/08/2009,33952
19/08/2009,28022
20/08/2009,38697
20/08/2009,28340
21/08/2009,43001
21/08/2009,32233
22/08/2009,48475
22/08/2009,45758
23/08/2009,31285
23/08/2009,20352
24/08/2009,34369
24/08/2009,22049
25/08/2009,33760
25/08/2009,36520
26/08/2009,32380
26/08/2009,22012
27/08/2009,35249
27/08/2009,32947
28/08/2009,36787
28/08/2009,35637
29/08/2009,51191
29/08/2009,40634
30/08/2009,37025
30/08/2009,20002
1/9/2009,32995
1/9/2009,34391
2/9/2009,34138
2/9/2009,26650
3/9/2009,31770
3/9/2009,21606
4/9/2009,34191
4/9/2009,20781
5/9/2009,48928
5/9/2009,39378
6/9/2009,30602
6/9/2009,18967
31/08/2009,36407
31/08/2009,26980
7/9/2009,28602
7/9/2009,29536
8/9/2009,21222
8/9/2009,20519
9/9/2009,26490
9/9/2009,21561
10/9/2009,27403
10/9/2009,30979
11/9/2009,31543
11/9/2009,30250
12/9/2009,48187
12/9/2009,52667
13/09/2009,28503
13/09/2009,14383
14/09/2009,27887
14/09/2009,20684
15/09/2009,28867
15/09/2009,28190
16/09/2009,27450
16/09/2009,19485
17/09/2009,27544
17/09/2009,21292
18/09/2009,33468
18/09/2009,33863
19/09/2009,50139
19/09/2009,65656
20/09/2009,27451
20/09/2009,47359
21/09/2009,26292
21/09/2009,26764
22/09/2009,28117
22/09/2009,28309
23/09/2009,29139
23/09/2009,22565
24/09/2009,27940
24/09/2009,24625
25/09/2009,31646
25/09/2009,34347
26/09/2009,48961
26/09/2009,67401
27/09/2009,29465
27/09/2009,29924
1/10/2009,29933
1/10/2009,28337
2/10/2009,34446
2/10/2009,25761
3/10/2009,54177
3/10/2009,40356
4/10/2009,31844
4/10/2009,22539
28/09/2009,24816
28/09/2009,28629
29/09/2009,26867
29/09/2009,17263
30/09/2009,30070
30/09/2009,27215
5/10/2009,26878
5/10/2009,25579
6/10/2009,26354
6/10/2009,16124
7/10/2009,31406
7/10/2009,33092
8/10/2009,28753
8/10/2009,33251
9/10/2009,35259
9/10/2009,21157
10/10/2009,55764
10/10/2009,57804
11/10/2009,33454
11/10/2009,33274
12/10/2009,29854
12/10/2009,30093
13/10/2009,31105
13/10/2009,31767
14/10/2009,34068
14/10/2009,19924
15/10/2009,29577
15/10/2009,20237
16/10/2009,35780
16/10/2009,28703
17/10/2009,56255
17/10/2009,53647
18/10/2009,33633
18/10/2009,19703
19/10/2009,27875
19/10/2009,17623
20/10/2009,29367
20/10/2009,17852
21/10/2009,31280
21/10/2009,26743
22/10/2009,29556
22/10/2009,18322
23/10/2009,38135
23/10/2009,22822
24/10/2009,50758
24/10/2009,29229
25/10/2009,37789
25/10/2009,22636
1/11/2009,28138
1/11/2009,20163
26/10/2009,42728
26/10/2009,28997
27/10/2009,43889
27/10/2009,25326
28/10/2009,47594
28/10/2009,30586
29/10/2009,44459
29/10/2009,28936
30/10/2009,47080
30/10/2009,30284
31/10/2009,57558
31/10/2009,58616
2/11/2009,27378
2/11/2009,20571
3/11/2009,25393
3/11/2009,19981
4/11/2009,30626
4/11/2009,21751
5/11/2009,26967
5/11/2009,25838
6/11/2009,35314
6/11/2009,23312
7/11/2009,54915
7/11/2009,47287
8/11/2009,33775
8/11/2009,17634
9/11/2009,26727
9/11/2009,27303
10/11/2009,28410
10/11/2009,18720
11/11/2009,31352
11/11/2009,26989
12/11/2009,30625
12/11/2009,22571
13/11/2009,36442
13/11/2009,26112
14/11/2009,60064
14/11/2009,35661
15/11/2009,39910
15/11/2009,20197
16/11/2009,23383
16/11/2009,15343
17/11/2009,30035
17/11/2009,25364
18/11/2009,26995
18/11/2009,17296
19/11/2009,31051
19/11/2009,20196
20/11/2009,40803
20/11/2009,24983
21/11/2009,61236
21/11/2009,41023
22/11/2009,38740
22/11/2009,18216
23/11/2009,30375
23/11/2009,19322
24/11/2009,30608
24/11/2009,18580
25/11/2009,31625
25/11/2009,23012
26/11/2009,37879
26/11/2009,22868
27/11/2009,49193
27/11/2009,32802
28/11/2009,55934
28/11/2009,39323
29/11/2009,38210
29/11/2009,20682
1/12/2009,30035
1/12/2009,21888
2/12/2009,34911
2/12/2009,25432
3/12/2009,35970
3/12/2009,24878
4/12/2009,46507
4/12/2009,29965
5/12/2009,61155
5/12/2009,39669
6/12/2009,42146
6/12/2009,21698
30/11/2009,26828
30/11/2009,20656
7/12/2009,38246
7/12/2009,24434
8/12/2009,39655
8/12/2009,27944
9/12/2009,40112
9/12/2009,24913
10/12/2009,43701
10/12/2009,24647
11/12/2009,46767
11/12/2009,30250
12/12/2009,61666
12/12/2009,44005
13/12/2009,46715
13/12/2009,22198
14/12/2009,38391
14/12/2009,25770
15/12/2009,39345
15/12/2009,22804
16/12/2009,40637
16/12/2009,28452
17/12/2009,44625
17/12/2009,27131
18/12/2009,37439
18/12/2009,25005
19/12/2009,55049
19/12/2009,36999
20/12/2009,35473
20/12/2009,18526
21/12/2009,48850
21/12/2009,33068
22/12/2009,48620
22/12/2009,31475
23/12/2009,48152
23/12/2009,33265
24/12/2009,44107
24/12/2009,28107
25/12/2009,3523
25/12/2009,2986
26/12/2009,34473
26/12/2009,22123
27/12/2009,38863
27/12/2009,21847
1/1/2010,22331
1/1/2010,19413
2/1/2010,39884
2/1/2010,28375
3/1/2010,20145
3/1/2010,12857
28/12/2009,48327
28/12/2009,30533
29/12/2009,49358
29/12/2009,29407
30/12/2009,47837
30/12/2009,31763
31/12/2009,46646
31/12/2009,26628
4/1/2010,27702
4/1/2010,20790
5/1/2010,14867
5/1/2010,9764
6/1/2010,16749
6/1/2010,11529
7/1/2010,17218
7/1/2010,10988
8/1/2010,21097
8/1/2010,15801
9/1/2010,35135
9/1/2010,23165
10/1/2010,20493
10/1/2010,11743
11/1/2010,21626
11/1/2010,14130
12/1/2010,21944
12/1/2010,14148
13/01/2010,23256
13/01/2010,21968
14/01/2010,22224
14/01/2010,13907
15/01/2010,26272
15/01/2010,10824
16/01/2010,43369
16/01/2010,21099
17/01/2010,32270
17/01/2010,18068
18/01/2010,24416
18/01/2010,16317
19/01/2010,24173
19/01/2010,14773
20/01/2010,23505
20/01/2010,17353
21/01/2010,24962
21/01/2010,15174
22/01/2010,26233
22/01/2010,17265
23/01/2010,52878
23/01/2010,31476
24/01/2010,28175
24/01/2010,16355
25/01/2010,21692
25/01/2010,15030
26/01/2010,23530
26/01/2010,14829
27/01/2010,23236
27/01/2010,17950
28/01/2010,24262
28/01/2010,15356
29/01/2010,31144
29/01/2010,17630
30/01/2010,54435
30/01/2010,29246
31/01/2010,30844
31/01/2010,17388
1/2/2010,23294
1/2/2010,15659
2/2/2010,22199
2/2/2010,14583
3/2/2010,26415
3/2/2010,21090
4/2/2010,21849
4/2/2010,13812
5/2/2010,29054
5/2/2010,17239
6/2/2010,53601
6/2/2010,28673
7/2/2010,28671
7/2/2010,16270
8/2/2010,24008
8/2/2010,15868
9/2/2010,24240
9/2/2010,14728
10/2/2010,24013
10/2/2010,18797
11/2/2010,24561
11/2/2010,15280
12/2/2010,31541
12/2/2010,19115
13/02/2010,53797
13/02/2010,29798
14/02/2010,37690
14/02/2010,20838
15/02/2010,35392
15/02/2010,21519
16/02/2010,38159
16/02/2010,21713
17/02/2010,39292
17/02/2010,25279
18/02/2010,39213
18/02/2010,21816
19/02/2010,44961
19/02/2010,24994
20/02/2010,53626
20/02/2010,29239
21/02/2010,18688
21/02/2010,16165
22/02/2010,23140
22/02/2010,16682
23/02/2010,26017
23/02/2010,16508
24/02/2010,25642
24/02/2010,18722
25/02/2010,24375
25/02/2010,17969
26/02/2010,26662
26/02/2010,16449
27/02/2010,56900
27/02/2010,30236
28/02/2010,29072
28/02/2010,17757
1/3/2010,25950
1/3/2010,18023
2/3/2010,25815
2/3/2010,16649
3/3/2010,28207
3/3/2010,19932
4/3/2010,27735
4/3/2010,17355
5/3/2010,34670
5/3/2010,26835
6/3/2010,56843
6/3/2010,28461
7/3/2010,32829
7/3/2010,22416
8/3/2010,25453
8/3/2010,18741
9/3/2010,26297
9/3/2010,16689
10/3/2010,28909
10/3/2010,23181
11/3/2010,28817
11/3/2010,25518
12/3/2010,33542
12/3/2010,18684
13/03/2010,57283
13/03/2010,43790
14/03/2010,29637
14/03/2010,16983
15/03/2010,25220
15/03/2010,17765
16/03/2010,27770
16/03/2010,18916
17/03/2010,33722
17/03/2010,18025
18/03/2010,30920
18/03/2010,20371
19/03/2010,32985
19/03/2010,31458
20/03/2010,46879
20/03/2010,29006
21/03/2010,31672
21/03/2010,19987
22/03/2010,25260
22/03/2010,15380
23/03/2010,27275
23/03/2010,22232
24/03/2010,26360
24/03/2010,16053
25/03/2010,27606
25/03/2010,18625
26/03/2010,30315
26/03/2010,28174
27/03/2010,52631
27/03/2010,40280
28/03/2010,28253
28/03/2010,16451
1/4/2010,36901
1/4/2010,34823
2/4/2010,46188
2/4/2010,23808
3/4/2010,55176
3/4/2010,45226
4/4/2010,26344
4/4/2010,17942
29/03/2010,25175
29/03/2010,16026
30/03/2010,27104
30/03/2010,15980
31/03/2010,29612
31/03/2010,19545
5/4/2010,37200
5/4/2010,18319
6/4/2010,41299
6/4/2010,28901
7/4/2010,37633
7/4/2010,22669
8/4/2010,37179
8/4/2010,38459
9/4/2010,41985
9/4/2010,30347
10/4/2010,48833
10/4/2010,41613
11/4/2010,28014
11/4/2010,18665
12/4/2010,34417
12/4/2010,25839
13/04/2010,32421
13/04/2010,19875
14/04/2010,34318
14/04/2010,22650
15/04/2010,34166
15/04/2010,19628
16/04/2010,38110
16/04/2010,31484
17/04/2010,48321
17/04/2010,44509
18/04/2010,28613
18/04/2010,13383
19/04/2010,20052
19/04/2010,13885
20/04/2010,25520
20/04/2010,22385
21/04/2010,21777
21/04/2010,27691
22/04/2010,21484
22/04/2010,24970
23/04/2010,28329
23/04/2010,18705
24/04/2010,50614
24/04/2010,41936
25/04/2010,30466
25/04/2010,16300
1/5/2010,49250
1/5/2010,41172
2/5/2010,35408
2/5/2010,21275
26/04/2010,28627
26/04/2010,20607
27/04/2010,29136
27/04/2010,20201
28/04/2010,29826
28/04/2010,18185
29/04/2010,23841
29/04/2010,15820
30/04/2010,31248
30/04/2010,24712
3/5/2010,35487
3/5/2010,27302
4/5/2010,26343
4/5/2010,24361
5/5/2010,30061
5/5/2010,18392
6/5/2010,27922
6/5/2010,15800
7/5/2010,31094
7/5/2010,23396
8/5/2010,52328
8/5/2010,30423
9/5/2010,26968
9/5/2010,14465
10/5/2010,23977
10/5/2010,15006
11/5/2010,24884
11/5/2010,19198
12/5/2010,27466
12/5/2010,19404
13/05/2010,27740
13/05/2010,20925
14/05/2010,34722
14/05/2010,22119
15/05/2010,52373
15/05/2010,32433
16/05/2010,27715
16/05/2010,13929
17/05/2010,24362
17/05/2010,19034
18/05/2010,26681
18/05/2010,23107
19/05/2010,29441
19/05/2010,18548
20/05/2010,28306
20/05/2010,18444
21/05/2010,34525
21/05/2010,22238
22/05/2010,46177
22/05/2010,35789
23/05/2010,28241
23/05/2010,16537
24/05/2010,26400
24/05/2010,20977
25/05/2010,26777
25/05/2010,15704
26/05/2010,28279
26/05/2010,17442
27/05/2010,27887
27/05/2010,19958
28/05/2010,33903
28/05/2010,32444
29/05/2010,48928
29/05/2010,27596
30/05/2010,36373
30/05/2010,20066
1/6/2010,35517
1/6/2010,23676
2/6/2010,36193
2/6/2010,33267
3/6/2010,36051
3/6/2010,31541
4/6/2010,37162
4/6/2010,31863
5/6/2010,49157
5/6/2010,30887
6/6/2010,23684
6/6/2010,14040
31/05/2010,38853
31/05/2010,27586
7/6/2010,26573
7/6/2010,16743
8/6/2010,25630
8/6/2010,17505
9/6/2010,28366
9/6/2010,17018
10/6/2010,28009
10/6/2010,20270
11/6/2010,32854
11/6/2010,24272
12/6/2010,42049
12/6/2010,37089
13/06/2010,27039
13/06/2010,14265
14/06/2010,25515
14/06/2010,16477
15/06/2010,28283
15/06/2010,21526
16/06/2010,28607
16/06/2010,22694
17/06/2010,32335
17/06/2010,25053
18/06/2010,35422
18/06/2010,21776
19/06/2010,55597
19/06/2010,28948
20/06/2010,30955
20/06/2010,16831
21/06/2010,27775
21/06/2010,22234
22/06/2010,26007
22/06/2010,23720
23/06/2010,27373
23/06/2010,19897
24/06/2010,32709
24/06/2010,20823
25/06/2010,35652
25/06/2010,23943
26/06/2010,51179
26/06/2010,32035
27/06/2010,26370
27/06/2010,13457
1/7/2010,35129
1/7/2010,22548
2/7/2010,37229
2/7/2010,27002
3/7/2010,52266
3/7/2010,39859
4/7/2010,31241
4/7/2010,16370
28/06/2010,30270
28/06/2010,21655
29/06/2010,31656
29/06/2010,22089
30/06/2010,34959
30/06/2010,28332
5/7/2010,30761
5/7/2010,20672
6/7/2010,31735
6/7/2010,20853
7/7/2010,33913
7/7/2010,20021
8/7/2010,32468
8/7/2010,21850
9/7/2010,37636
9/7/2010,23135
10/7/2010,53062
10/7/2010,29031
11/7/2010,33490
11/7/2010,18576
12/7/2010,30020
12/7/2010,18668
13/07/2010,32520
13/07/2010,20151
14/07/2010,32729
14/07/2010,20171
15/07/2010,33028
15/07/2010,21820
16/07/2010,38492
16/07/2010,20936
17/07/2010,56051
17/07/2010,31546
18/07/2010,33369
18/07/2010,15151
19/07/2010,32492
19/07/2010,24905
20/07/2010,34209
20/07/2010,19168
21/07/2010,33694
21/07/2010,22720
22/07/2010,33820
22/07/2010,19089
23/07/2010,38283
23/07/2010,29781
24/07/2010,51680
24/07/2010,32436
25/07/2010,34006
25/07/2010,17042
1/8/2010,37924
1/8/2010,16379
26/07/2010,34840
26/07/2010,21259
27/07/2010,37283
27/07/2010,23951
28/07/2010,37840
28/07/2010,21994
29/07/2010,37890
29/07/2010,23324
30/07/2010,41123
30/07/2010,24753
31/07/2010,54350
31/07/2010,29419
2/8/2010,37456
2/8/2010,25169
3/8/2010,39022
3/8/2010,25074
4/8/2010,37106
4/8/2010,23290
5/8/2010,39602
5/8/2010,25013
6/8/2010,41559
6/8/2010,22848
7/8/2010,49181
7/8/2010,30412
8/8/2010,33205
8/8/2010,17553
9/8/2010,35603
9/8/2010,24790
10/8/2010,37788
10/8/2010,27996
11/8/2010,36935
11/8/2010,25354
12/8/2010,36282
12/8/2010,24933
13/08/2010,38072
13/08/2010,20305
14/08/2010,48389
14/08/2010,37274
15/08/2010,33094
15/08/2010,20250
16/08/2010,35029
16/08/2010,27614
17/08/2010,37337
17/08/2010,26937
18/08/2010,38294
18/08/2010,23326
19/08/2010,39242
19/08/2010,29029
20/08/2010,40073
20/08/2010,22777
21/08/2010,46753
21/08/2010,37510
22/08/2010,29745
22/08/2010,21415
23/08/2010,33245
23/08/2010,19323
24/08/2010,34815
24/08/2010,26914
25/08/2010,38737
25/08/2010,28568
26/08/2010,37568
26/08/2010,22102
27/08/2010,40073
27/08/2010,36385
28/08/2010,49657
28/08/2010,37273
29/08/2010,35821
29/08/2010,26112
1/9/2010,35697
1/9/2010,35152
2/9/2010,37368
2/9/2010,24652
3/9/2010,37914
3/9/2010,27252
4/9/2010,52107
4/9/2010,33779
5/9/2010,29873
5/9/2010,16546
30/08/2010,38848
30/08/2010,26391
31/08/2010,36442
31/08/2010,39190
6/9/2010,29302
6/9/2010,25442
7/9/2010,28874
7/9/2010,23501
8/9/2010,30745
8/9/2010,17203
9/9/2010,29194
9/9/2010,26512
10/9/2010,33750
10/9/2010,18347
11/9/2010,49772
11/9/2010,28093
12/9/2010,29668
12/9/2010,16531
13/09/2010,27533
13/09/2010,16413
14/09/2010,27456
14/09/2010,21980
15/09/2010,28655
15/09/2010,17832
16/09/2010,30624
16/09/2010,22615
17/09/2010,32183
17/09/2010,51441
18/09/2010,49610
18/09/2010,73219
19/09/2010,25482
19/09/2010,31216
20/09/2010,27881
20/09/2010,37761
21/09/2010,30995
21/09/2010,36184
22/09/2010,31297
22/09/2010,34561
23/09/2010,28939
23/09/2010,34403
24/09/2010,32337
24/09/2010,32811
25/09/2010,54715
25/09/2010,78212
26/09/2010,29812
26/09/2010,30119
1/10/2010,28650
1/10/2010,15623
2/10/2010,56348
2/10/2010,47734
3/10/2010,23227
3/10/2010,10863
27/09/2010,28427
27/09/2010,26538
28/09/2010,29881
28/09/2010,17564
29/09/2010,28828
29/09/2010,16234
30/09/2010,31788
30/09/2010,26415
4/10/2010,29762
4/10/2010,20678
5/10/2010,30698
5/10/2010,17042
6/10/2010,30487
6/10/2010,19727
7/10/2010,27974
7/10/2010,26545
8/10/2010,34907
8/10/2010,18985
9/10/2010,57846
9/10/2010,32513
10/10/2010,34914
10/10/2010,27565
11/10/2010,32211
11/10/2010,26874
12/10/2010,31492
12/10/2010,21658
13/10/2010,32646
13/10/2010,20850
14/10/2010,32618
14/10/2010,19174
15/10/2010,29311
15/10/2010,21503
16/10/2010,44759
16/10/2010,46339
17/10/2010,27865
17/10/2010,31450
18/10/2010,24072
18/10/2010,16409
19/10/2010,24353
19/10/2010,26708
20/10/2010,25167
20/10/2010,30410
21/10/2010,26681
21/10/2010,24068
22/10/2010,31072
22/10/2010,23660
23/10/2010,45675
23/10/2010,27937
24/10/2010,28508
24/10/2010,23717
25/10/2010,37033
25/10/2010,44138
26/10/2010,35465
26/10/2010,21323
27/10/2010,43483
27/10/2010,47565
28/10/2010,43062
28/10/2010,37616
29/10/2010,46431
29/10/2010,30363
30/10/2010,50348
30/10/2010,53810
31/10/2010,26705
31/10/2010,14867
1/11/2010,26116
1/11/2010,19952
2/11/2010,25171
2/11/2010,18310
3/11/2010,25544
3/11/2010,17214
4/11/2010,24268
4/11/2010,17273
5/11/2010,28997
5/11/2010,20218
6/11/2010,46203
6/11/2010,45091
7/11/2010,26569
7/11/2010,19055
8/11/2010,21246
8/11/2010,13500
9/11/2010,22112
9/11/2010,14264
10/11/2010,30731
10/11/2010,17223
11/11/2010,22356
11/11/2010,14983
12/11/2010,28520
12/11/2010,23344
13/11/2010,48930
13/11/2010,51875
14/11/2010,28890
14/11/2010,16161
15/11/2010,26950
15/11/2010,21840
16/11/2010,24758
16/11/2010,15624
17/11/2010,26046
17/11/2010,16602
18/11/2010,25491
18/11/2010,20328
19/11/2010,32210
19/11/2010,23540
20/11/2010,47819
20/11/2010,39985
21/11/2010,30454
21/11/2010,17082
22/11/2010,24770
22/11/2010,17101
23/11/2010,31013
23/11/2010,20130
24/11/2010,29440
24/11/2010,18265
25/11/2010,39038
25/11/2010,28417
26/11/2010,54909
26/11/2010,42751
27/11/2010,59650
27/11/2010,57537
28/11/2010,44637
28/11/2010,28632
1/12/2010,14405
1/12/2010,9632
2/12/2010,22666
2/12/2010,13298
3/12/2010,27347
3/12/2010,20766
4/12/2010,51909
4/12/2010,38084
5/12/2010,34808
5/12/2010,16858
29/11/2010,24322
29/11/2010,18075
30/11/2010,24961
30/11/2010,15369
6/12/2010,30880
6/12/2010,22538
7/12/2010,27782
7/12/2010,14631
8/12/2010,31603
8/12/2010,25783
9/12/2010,34619
9/12/2010,18608
10/12/2010,38621
10/12/2010,23236
11/12/2010,61739
11/12/2010,41102
12/12/2010,42367
12/12/2010,20421
13/12/2010,36446
13/12/2010,19681
14/12/2010,35229
14/12/2010,21180
15/12/2010,39732
15/12/2010,21935
16/12/2010,39527
16/12/2010,25595
17/12/2010,43700
17/12/2010,30271
18/12/2010,63292
18/12/2010,40809
19/12/2010,36546
19/12/2010,16934
20/12/2010,45826
20/12/2010,24404
21/12/2010,47095
21/12/2010,25971
22/12/2010,42178
22/12/2010,19744
23/12/2010,49379
23/12/2010,22950
24/12/2010,39549
24/12/2010,24757
25/12/2010,2529
25/12/2010,796
26/12/2010,24207
26/12/2010,6297
1/1/2011,23330
1/1/2011,7271
2/1/2011,31001
2/1/2011,13564
27/12/2010,43546
27/12/2010,18938
28/12/2010,43594
28/12/2010,20320
29/12/2010,48347
29/12/2010,24092
30/12/2010,46115
30/12/2010,22474
31/12/2010,43395
31/12/2010,20882
3/1/2011,35662
3/1/2011,17448
4/1/2011,25059
4/1/2011,14191
5/1/2011,23299
5/1/2011,13428
6/1/2011,24397
6/1/2011,14556
7/1/2011,25328
7/1/2011,15927
8/1/2011,41784
8/1/2011,27877
9/1/2011,22273
9/1/2011,12232
10/1/2011,20144
10/1/2011,12307
11/1/2011,23637
11/1/2011,13995
12/1/2011,23696
12/1/2011,13945
13/01/2011,25140
13/01/2011,16221
14/01/2011,29691
14/01/2011,17218
15/01/2011,46245
15/01/2011,26042
16/01/2011,23268
16/01/2011,9849
17/01/2011,24157
17/01/2011,15357
18/01/2011,22896
18/01/2011,20890
19/01/2011,24785
19/01/2011,20122
20/01/2011,24440
20/01/2011,19281
21/01/2011,28362
21/01/2011,23533
22/01/2011,46011
22/01/2011,25626
23/01/2011,24615
23/01/2011,11175
24/01/2011,20951
24/01/2011,15611
25/01/2011,21799
25/01/2011,14662
26/01/2011,26093
26/01/2011,13691
27/01/2011,25391
27/01/2011,14603
28/01/2011,31122
28/01/2011,23786
29/01/2011,53239
29/01/2011,44806
30/01/2011,27428
30/01/2011,14836
1/2/2011,22461
1/2/2011,16718
2/2/2011,24237
2/2/2011,13632
3/2/2011,25148
3/2/2011,20345
4/2/2011,26319
4/2/2011,20186
5/2/2011,47094
5/2/2011,25231
6/2/2011,25727
6/2/2011,10839
31/01/2011,23202
31/01/2011,17119
7/2/2011,22094
7/2/2011,14281
8/2/2011,24408
8/2/2011,25327
9/2/2011,26798
9/2/2011,14031
10/2/2011,25673
10/2/2011,18313
11/2/2011,30519
11/2/2011,17227
12/2/2011,53299
12/2/2011,35345
13/02/2011,28652
13/02/2011,10739
14/02/2011,29513
14/02/2011,20682
15/02/2011,24625
15/02/2011,14128
16/02/2011,27197
16/02/2011,24603
17/02/2011,25826
17/02/2011,14869
18/02/2011,31200
18/02/2011,18110
19/02/2011,41304
19/02/2011,22713
20/02/2011,30129
20/02/2011,12612
21/02/2011,33908
21/02/2011,18758
22/02/2011,35250
22/02/2011,23811
23/02/2011,35054
23/02/2011,19254
24/02/2011,42701
24/02/2011,36578
25/02/2011,48141
25/02/2011,27507
26/02/2011,51116
26/02/2011,30763
